Station information:,,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority,
Auckland Aero,1962,C74082,-37.00813,174.78873,7,H,N/A,
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,,
,,,,,,,,
Rain: Daily,,,,,,,,
Station,Date(NZST),Time(NZST),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
Auckland Aero,20160101,800,0,-,134.7,0,24,D
Auckland Aero,20160102,800,15.8,-,119.9,0,24,D
Auckland Aero,20160103,800,18.4,-,103.5,0,24,D
Auckland Aero,20160104,800,0,-,106.6,0,24,D
Auckland Aero,20160105,800,0,-,109.4,0,24,D
Auckland Aero,20160106,800,0,-,112.1,0,24,D
Auckland Aero,20160107,800,0,-,114.6,0,24,D
Auckland Aero,20160108,800,0,-,117,0,24,D
Auckland Aero,20160109,800,29.8,-,89.4,0,24,D
Auckland Aero,20160110,800,0,-,93.4,0,24,D
Auckland Aero,20160111,800,0,-,97.2,0,24,D
Auckland Aero,20160112,800,1.2,-,99.5,0,24,D
Auckland Aero,20160113,800,3.6,-,99.2,0,24,D
Auckland Aero,20160114,800,0,-,102.6,0,24,D
Auckland Aero,20160115,800,0,-,105.7,0,24,D
Auckland Aero,20160116,800,0,-,108.7,0,24,D
Auckland Aero,20160117,800,0,-,111.4,0,24,D
Auckland Aero,20160118,800,0,-,114,0,24,D
Auckland Aero,20160119,800,11.2,-,105.2,0,24,D
Auckland Aero,20160120,800,0,-,108.1,0,24,D
Auckland Aero,20160121,800,0,-,110.9,0,24,D
Auckland Aero,20160122,800,0,-,113.5,0,24,D
Auckland Aero,20160123,800,0,-,115.9,0,24,D
Auckland Aero,20160124,800,0,-,118.2,0,24,D
Auckland Aero,20160125,800,0,-,120.3,0,24,D
Auckland Aero,20160126,800,0,-,122.3,0,24,D
Auckland Aero,20160127,800,0,-,124.1,0,24,D
Auckland Aero,20160128,800,46.6,-,79.2,0,24,D
Auckland Aero,20160129,800,0.6,-,83.3,0,24,D
Auckland Aero,20160130,800,0.2,-,87.5,0,24,D
Auckland Aero,20160131,800,0,-,91.7,0,24,D
Auckland Aero,20160201,800,0.8,-,94.8,0,24,D
Auckland Aero,20160202,800,0,-,98.1,0,24,D
Auckland Aero,20160203,800,0,-,101.2,0,24,D
Auckland Aero,20160204,800,0,-,104.1,0,24,D
Auckland Aero,20160205,800,0.2,-,106.7,0,24,D
Auckland Aero,20160206,800,4.4,-,104.9,0,24,D
Auckland Aero,20160207,800,3.4,-,104.2,0,24,D
Auckland Aero,20160208,800,0,-,106.9,0,24,D
Auckland Aero,20160209,800,0,-,109.5,0,24,D
Auckland Aero,20160210,800,0,-,112,0,24,D
Auckland Aero,20160211,800,10.4,-,103.8,0,24,D
Auckland Aero,20160212,800,0.2,-,106.4,0,24,D
Auckland Aero,20160213,800,0,-,109,0,24,D
Auckland Aero,20160214,800,0,-,111.5,0,24,D
Auckland Aero,20160215,800,0,-,113.8,0,24,D
Auckland Aero,20160216,800,0,-,116,0,24,D
Auckland Aero,20160217,800,12,-,106,0,24,D
Auckland Aero,20160218,800,14.6,-,94.1,0,24,D
Auckland Aero,20160219,800,5.8,-,91.6,0,24,D
Auckland Aero,20160220,800,0.2,-,94.9,0,24,D
Auckland Aero,20160221,800,0,-,98.2,0,24,D
Auckland Aero,20160222,800,0,-,101.3,0,24,D
Auckland Aero,20160223,800,0,-,104.3,0,24,D
Auckland Aero,20160224,800,0,-,107,0,24,D
Auckland Aero,20160225,800,0,-,109.6,0,24,D
Auckland Aero,20160226,800,0,-,112,0,24,D
Auckland Aero,20160227,800,0,-,114.3,0,24,D
Auckland Aero,20160228,800,10.4,-,106,0,24,D
Auckland Aero,20160229,800,0.8,-,107.9,0,24,D
Auckland Aero,20160301,800,37.6,-,72.8,0,24,D
Auckland Aero,20160302,800,0,-,76.5,0,24,D
Auckland Aero,20160303,800,0,-,80.1,0,24,D
Auckland Aero,20160304,800,0,-,83.5,0,24,D
Auckland Aero,20160305,800,0,-,86.7,0,24,D
Auckland Aero,20160306,800,0,-,89.8,0,24,D
Auckland Aero,20160307,800,0,-,92.7,0,24,D
Auckland Aero,20160308,800,0,-,95.5,0,24,D
Auckland Aero,20160309,800,1,-,97.2,0,24,D
Auckland Aero,20160310,800,0,-,99.8,0,24,D
Auckland Aero,20160311,800,1.8,-,100.4,0,24,D
Auckland Aero,20160312,800,0,-,102.8,0,24,D
Auckland Aero,20160313,800,0,-,105.1,0,24,D
Auckland Aero,20160314,800,0,-,107.3,0,24,D
Auckland Aero,20160315,800,0,-,109.4,0,24,D
Auckland Aero,20160316,800,9.4,-,102,0,24,D
Auckland Aero,20160317,800,0,-,104.3,0,24,D
Auckland Aero,20160318,800,1.4,-,105.2,0,24,D
Auckland Aero,20160319,800,0.2,-,107.1,0,24,D
Auckland Aero,20160320,800,0,-,109.2,0,24,D
Auckland Aero,20160321,800,0,-,111.2,0,24,D
Auckland Aero,20160322,800,0,-,113.1,0,24,D
Auckland Aero,20160323,800,0.6,-,114.3,0,24,D
Auckland Aero,20160324,800,9.6,-,106.5,0,24,D
Auckland Aero,20160325,800,2.8,-,105.8,0,24,D
Auckland Aero,20160326,800,0,-,107.9,0,24,D
Auckland Aero,20160327,800,0,-,110,0,24,D
Auckland Aero,20160328,800,0,-,111.9,0,24,D
Auckland Aero,20160329,800,0,-,113.8,0,24,D
Auckland Aero,20160330,800,0,-,115.6,0,24,D
Auckland Aero,20160331,800,0,-,117.2,0,24,D
Auckland Aero,20160401,800,0,-,118.8,0,24,D
Auckland Aero,20160402,800,3.8,-,115.9,0,24,D
Auckland Aero,20160403,900,2.2,-,114.8,0,24,D
Auckland Aero,20160404,900,1,-,114.8,0,24,D
Auckland Aero,20160405,900,0.2,-,115.7,0,24,D
Auckland Aero,20160406,900,0,-,116.7,0,24,D
Auckland Aero,20160407,900,0,-,117.7,0,24,D
Auckland Aero,20160408,900,0,-,118.7,0,24,D
Auckland Aero,20160409,900,0.2,-,119.5,0,24,D
Auckland Aero,20160410,900,0,-,120.4,0,24,D
Auckland Aero,20160411,900,0.6,-,120.7,0,24,D
Auckland Aero,20160412,900,0,-,121.6,0,24,D
Auckland Aero,20160413,900,8.2,-,114.2,0,24,D
Auckland Aero,20160414,900,0,-,115.3,0,24,D
Auckland Aero,20160415,900,0,-,116.3,0,24,D
Auckland Aero,20160416,900,0,-,117.4,0,24,D
Auckland Aero,20160417,900,2.4,-,115.9,0,24,D
Auckland Aero,20160418,900,9.4,-,107.6,0,24,D
Auckland Aero,20160419,900,0,-,108.8,0,24,D
Auckland Aero,20160420,900,0,-,110.1,0,24,D
Auckland Aero,20160421,900,0,-,111.3,0,24,D
Auckland Aero,20160422,900,0,-,112.5,0,24,D
Auckland Aero,20160423,900,0,-,113.6,0,24,D
Auckland Aero,20160424,900,1.2,-,113.5,0,24,D
Auckland Aero,20160425,900,3.2,-,111.4,0,24,D
Auckland Aero,20160426,900,0,-,112.6,0,24,D
Auckland Aero,20160427,900,0,-,113.7,0,24,D
Auckland Aero,20160428,900,0,-,114.8,0,24,D
Auckland Aero,20160429,900,0,-,115.8,0,24,D
Auckland Aero,20160430,900,0,-,116.9,0,24,D
Auckland Aero,20160501,900,0,-,117.9,0,24,D
Auckland Aero,20160502,900,1.4,-,117.1,0,24,D
Auckland Aero,20160503,900,0,-,117.8,0,24,D
Auckland Aero,20160504,900,0.2,-,118.3,0,24,D
Auckland Aero,20160505,900,0,-,118.9,0,24,D
Auckland Aero,20160506,900,1.8,-,117.7,0,24,D
Auckland Aero,20160507,900,0,-,118.4,0,24,D
Auckland Aero,20160508,900,0,-,119,0,24,D
Auckland Aero,20160509,900,0,-,119.6,0,24,D
Auckland Aero,20160510,900,0,-,120.3,0,24,D
Auckland Aero,20160511,900,0,-,120.9,0,24,D
Auckland Aero,20160512,900,5.4,-,116,0,24,D
Auckland Aero,20160513,900,0,-,116.7,0,24,D
Auckland Aero,20160514,900,1.6,-,115.8,0,24,D
Auckland Aero,20160515,900,1,-,115.5,0,24,D
Auckland Aero,20160516,900,0,-,116.2,0,24,D
Auckland Aero,20160517,900,4,-,112.9,0,24,D
Auckland Aero,20160518,900,0,-,113.6,0,24,D
Auckland Aero,20160519,900,10.6,-,103.7,0,24,D
Auckland Aero,20160520,900,1.8,-,102.9,0,24,D
Auckland Aero,20160521,900,28,-,75.8,0,24,D
Auckland Aero,20160522,900,2.6,-,74.7,0,24,D
Auckland Aero,20160523,900,6,-,70.2,0,24,D
Auckland Aero,20160524,900,17.4,-,54.4,0,24,D
Auckland Aero,20160525,900,4.4,-,51.5,0,24,D
Auckland Aero,20160526,900,8.4,-,44.6,0,24,D
Auckland Aero,20160527,900,4.4,-,41.7,0,24,D
Auckland Aero,20160528,900,13.8,-,29.4,0,24,D
Auckland Aero,20160529,900,0.8,-,30.1,0,24,D
Auckland Aero,20160530,900,26,-,5.6,0,24,D
Auckland Aero,20160531,900,9,-,0,1.9,24,D
Auckland Aero,20160601,900,4.6,-,0,3.1,24,D
Auckland Aero,20160602,900,0,-,0.9,0,24,D
Auckland Aero,20160603,900,0,-,1.7,0,24,D
Auckland Aero,20160604,900,0.2,-,2.4,0,24,D
Auckland Aero,20160605,900,0,-,3.2,0,24,D
Auckland Aero,20160606,900,0,-,4.1,0,24,D
Auckland Aero,20160607,900,0,-,5,0,24,D
Auckland Aero,20160608,900,0,-,5.8,0,24,D
Auckland Aero,20160609,900,0.2,-,6.5,0,24,D
Auckland Aero,20160610,900,5,-,2.3,0,24,D
Auckland Aero,20160611,900,1.8,-,1.4,0,24,D
Auckland Aero,20160612,900,0,-,2.3,0,24,D
Auckland Aero,20160613,900,3.4,-,0,0.3,24,D
Auckland Aero,20160614,900,0.4,-,0.5,0,24,D
Auckland Aero,20160615,900,1,-,0.3,0,24,D
Auckland Aero,20160616,900,0.2,-,1,0,24,D
Auckland Aero,20160617,900,0.4,-,1.4,0,24,D
Auckland Aero,20160618,900,0.6,-,1.7,0,24,D
Auckland Aero,20160619,900,0,-,2.6,0,24,D
Auckland Aero,20160620,900,0.2,-,3.2,0,24,D
Auckland Aero,20160621,900,0.2,-,3.9,0,24,D
Auckland Aero,20160622,900,3.6,-,1.1,0,24,D
Auckland Aero,20160623,900,23.6,-,0,21.6,24,D
Auckland Aero,20160624,900,6,-,0,5.1,24,D
Auckland Aero,20160625,900,2.6,-,0,1.7,24,D
Auckland Aero,20160626,900,8,-,0,7.1,24,D
Auckland Aero,20160627,900,7.4,-,0,6.5,24,D
Auckland Aero,20160628,900,4.4,-,0,3.5,24,D
Auckland Aero,20160629,900,5.6,-,0,4.7,24,D
Auckland Aero,20160630,900,46.4,-,0,45.5,24,D
Auckland Aero,20160701,900,3.4,-,0,2.5,24,D
Auckland Aero,20160702,900,0,-,1.4,0,24,D
Auckland Aero,20160703,900,0,-,2.8,0,24,D
Auckland Aero,20160704,900,0,-,4.2,0,24,D
Auckland Aero,20160705,900,0.2,-,5.3,0,24,D
Auckland Aero,20160706,900,0.6,-,6.1,0,24,D
Auckland Aero,20160707,900,0,-,7.5,0,24,D
Auckland Aero,20160708,900,16.8,-,0,7.9,24,D
Auckland Aero,20160709,900,0,-,1.4,0,24,D
Auckland Aero,20160710,900,0,-,2.8,0,24,D
Auckland Aero,20160711,900,0,-,4.2,0,24,D
Auckland Aero,20160712,900,0,-,5.5,0,24,D
Auckland Aero,20160713,900,0,-,6.9,0,24,D
Auckland Aero,20160714,900,14.6,-,0,6.3,24,D
Auckland Aero,20160715,900,4.4,-,0,3,24,D
Auckland Aero,20160716,900,7.8,-,0,6.4,24,D
Auckland Aero,20160717,900,1,-,0.4,0,24,D
Auckland Aero,20160718,900,4.6,-,0,2.8,24,D
Auckland Aero,20160719,900,1.2,-,0.2,0,24,D
Auckland Aero,20160720,900,7,-,0,5.4,24,D
Auckland Aero,20160721,900,2.6,-,0,1.2,24,D
Auckland Aero,20160722,900,0,-,1.4,0,24,D
Auckland Aero,20160723,900,10.8,-,0,8,24,D
Auckland Aero,20160724,900,9.6,-,0,8.2,24,D
Auckland Aero,20160725,900,1.4,-,0,0,24,D
Auckland Aero,20160726,900,17.6,-,0,16.2,24,D
Auckland Aero,20160727,900,1,-,0.4,0,24,D
Auckland Aero,20160728,900,1.6,-,0.2,0,24,D
Auckland Aero,20160729,900,11,-,0,9.4,24,D
Auckland Aero,20160730,900,0.4,-,1,0,24,D
Auckland Aero,20160731,900,7.2,-,0,4.8,24,D
Auckland Aero,20160801,900,8.6,-,0,7.2,24,D
Auckland Aero,20160802,900,8.2,-,0,6.7,24,D
Auckland Aero,20160803,900,0,-,1.5,0,24,D
Auckland Aero,20160804,900,1.8,-,1.2,0,24,D
Auckland Aero,20160805,900,6.8,-,0,4,24,D
Auckland Aero,20160806,900,9,-,0,7.5,24,D
Auckland Aero,20160807,900,3.4,-,0,1.9,24,D
Auckland Aero,20160808,900,0.4,-,1.1,0,24,D
Auckland Aero,20160809,900,0,-,2.6,0,24,D
Auckland Aero,20160810,900,0.8,-,3.4,0,24,D
Auckland Aero,20160811,900,0,-,4.9,0,24,D
Auckland Aero,20160812,900,0.2,-,6.2,0,24,D
Auckland Aero,20160813,900,1.4,-,6.3,0,24,D
Auckland Aero,20160814,900,0,-,7.9,0,24,D
Auckland Aero,20160815,900,0,-,9.4,0,24,D
Auckland Aero,20160816,900,0,-,10.9,0,24,D
Auckland Aero,20160817,900,0,-,12.4,0,24,D
Auckland Aero,20160818,900,0.2,-,13.7,0,24,D
Auckland Aero,20160819,900,0,-,15.3,0,24,D
Auckland Aero,20160820,900,0,-,16.8,0,24,D
Auckland Aero,20160821,900,0,-,18.3,0,24,D
Auckland Aero,20160822,900,0,-,19.8,0,24,D
Auckland Aero,20160823,900,0,-,21.4,0,24,D
Auckland Aero,20160824,900,0,-,22.9,0,24,D
Auckland Aero,20160825,900,23.8,-,0.6,0,24,D
Auckland Aero,20160826,900,21,-,0,18.9,24,D
Auckland Aero,20160827,900,0.8,-,0.7,0,24,D
Auckland Aero,20160828,900,0,-,2.2,0,24,D
Auckland Aero,20160829,900,0,-,3.8,0,24,D
Auckland Aero,20160830,900,2,-,3.3,0,24,D
Auckland Aero,20160831,900,0,-,4.8,0,24,D
Auckland Aero,20160901,900,0,-,6.3,0,24,D
Auckland Aero,20160902,900,0.2,-,8.2,0,24,D
Auckland Aero,20160903,900,0.6,-,9.7,0,24,D
Auckland Aero,20160904,900,0,-,11.8,0,24,D
Auckland Aero,20160905,900,11.6,-,2.2,0,24,D
Auckland Aero,20160906,900,1.6,-,2.7,0,24,D
Auckland Aero,20160907,900,0,-,4.8,0,24,D
Auckland Aero,20160908,900,8.4,-,0,1.5,24,D
Auckland Aero,20160909,900,0.2,-,1.9,0,24,D
Auckland Aero,20160910,900,0,-,4,0,24,D
Auckland Aero,20160911,900,0,-,6,0,24,D
Auckland Aero,20160912,900,0,-,8.1,0,24,D
Auckland Aero,20160913,900,0,-,10.2,0,24,D
Auckland Aero,20160914,900,0,-,12.3,0,24,D
Auckland Aero,20160915,900,5.6,-,8.7,0,24,D
Auckland Aero,20160916,900,7.4,-,3.4,0,24,D
Auckland Aero,20160917,900,0,-,5.5,0,24,D
Auckland Aero,20160918,900,13,-,0,5.4,24,D
Auckland Aero,20160919,900,0,-,2.1,0,24,D
Auckland Aero,20160920,900,0,-,4.2,0,24,D
Auckland Aero,20160921,900,24.4,-,0,18.2,24,D
Auckland Aero,20160922,900,0,-,2.1,0,24,D
Auckland Aero,20160923,900,0.4,-,3.8,0,24,D
Auckland Aero,20160924,900,0,-,5.8,0,24,D
Auckland Aero,20160925,800,21,-,0,13.1,24,D
Auckland Aero,20160926,800,38.8,-,0,36.7,24,D
Auckland Aero,20160927,800,0.2,-,1.9,0,24,D
Auckland Aero,20160928,800,2.6,-,1.4,0,24,D
Auckland Aero,20160929,800,29.6,-,0,26.2,24,D
Auckland Aero,20160930,800,0.2,-,1.9,0,24,D
Auckland Aero,20161001,800,9.4,-,0,5.4,24,D
Auckland Aero,20161002,800,5.8,-,0,2,24,D
Auckland Aero,20161003,800,3.8,-,0,0,24,D
Auckland Aero,20161004,800,3,-,0.8,0,24,D
Auckland Aero,20161005,800,11.8,-,0,7.2,24,D
Auckland Aero,20161006,800,0.6,-,3.2,0,24,D
Auckland Aero,20161007,800,6.8,-,0.2,0,24,D
Auckland Aero,20161008,800,2,-,2,0,24,D
Auckland Aero,20161009,800,0,-,5.8,0,24,D
Auckland Aero,20161010,800,1.4,-,8.2,0,24,D
Auckland Aero,20161011,800,1.4,-,10.6,0,24,D
Auckland Aero,20161012,800,1.2,-,13.2,0,24,D
Auckland Aero,20161013,800,0,-,17,0,24,D
Auckland Aero,20161014,800,0,-,20.8,0,24,D
Auckland Aero,20161015,800,5.2,-,19.4,0,24,D
Auckland Aero,20161016,800,3.4,-,19.8,0,24,D
Auckland Aero,20161017,800,0,-,23.6,0,24,D
Auckland Aero,20161018,800,0,-,27.4,0,24,D
Auckland Aero,20161019,800,0,-,31.2,0,24,D
Auckland Aero,20161020,800,0,-,35,0,24,D
Auckland Aero,20161021,800,1.6,-,37.2,0,24,D
Auckland Aero,20161022,800,0.4,-,40.6,0,24,D
Auckland Aero,20161023,800,0,-,44.4,0,24,D
Auckland Aero,20161024,800,0,-,48.2,0,24,D
Auckland Aero,20161025,800,1.2,-,50.8,0,24,D
Auckland Aero,20161026,800,10.2,-,44.4,0,24,D
Auckland Aero,20161027,800,0.8,-,47.4,0,24,D
Auckland Aero,20161028,800,0,-,51.2,0,24,D
Auckland Aero,20161029,800,4.4,-,50.6,0,24,D
Auckland Aero,20161030,800,0,-,54.4,0,24,D
Auckland Aero,20161031,800,0,-,58.2,0,24,D
Auckland Aero,20161101,800,0,-,62,0,24,D
Auckland Aero,20161102,800,0.2,-,66.7,0,24,D
Auckland Aero,20161103,800,0.2,-,71.5,0,24,D
Auckland Aero,20161104,800,2.6,-,73.8,0,24,D
Auckland Aero,20161105,800,1.4,-,77.3,0,24,D
Auckland Aero,20161106,800,1.6,-,80.5,0,24,D
Auckland Aero,20161107,800,12.8,-,72.2,0,24,D
Auckland Aero,20161108,800,17.2,-,60,0,24,D
Auckland Aero,20161109,800,0,-,64.9,0,24,D
Auckland Aero,20161110,800,0,-,69.8,0,24,D
Auckland Aero,20161111,800,0,-,74.8,0,24,D
Auckland Aero,20161112,800,2.4,-,77.3,0,24,D
Auckland Aero,20161113,800,0.4,-,81.7,0,24,D
Auckland Aero,20161114,800,0,-,86.1,0,24,D
Auckland Aero,20161115,800,1.4,-,88.9,0,24,D
Auckland Aero,20161116,800,9.2,-,83.8,0,24,D
Auckland Aero,20161117,800,11.2,-,76.9,0,24,D
Auckland Aero,20161118,800,6.6,-,75.1,0,24,D
Auckland Aero,20161119,800,0,-,80,0,24,D
Auckland Aero,20161120,800,0.2,-,84.4,0,24,D
Auckland Aero,20161121,800,0,-,88.7,0,24,D
Auckland Aero,20161122,800,0,-,92.8,0,24,D
Auckland Aero,20161123,800,0,-,96.5,0,24,D
Auckland Aero,20161124,800,0,-,100,0,24,D
Auckland Aero,20161125,800,0,-,103.3,0,24,D
Auckland Aero,20161126,800,8.6,-,97.8,0,24,D
Auckland Aero,20161127,800,0.4,-,100.8,0,24,D
Auckland Aero,20161128,800,4.2,-,99.8,0,24,D
Auckland Aero,20161129,800,0.2,-,102.9,0,24,D
Auckland Aero,20161130,800,0,-,106,0,24,D
Auckland Aero,20161201,800,0,-,108.9,0,24,D
Auckland Aero,20161202,800,0,-,111.9,0,24,D
Auckland Aero,20161203,800,0,-,114.6,0,24,D
Auckland Aero,20161204,800,0,-,117.2,0,24,D
Auckland Aero,20161205,800,0,-,119.6,0,24,D
Auckland Aero,20161206,800,0,-,121.8,0,24,D
Auckland Aero,20161207,800,0,-,123.9,0,24,D
Auckland Aero,20161208,800,5.6,-,120.2,0,24,D
Auckland Aero,20161209,800,1.6,-,120.7,0,24,D
Auckland Aero,20161210,800,0,-,122.8,0,24,D
Auckland Aero,20161211,800,9.2,-,115.6,0,24,D
Auckland Aero,20161212,800,2.4,-,115.7,0,24,D
Auckland Aero,20161213,800,0.6,-,117.6,0,24,D
Auckland Aero,20161214,800,0,-,120,0,24,D
Auckland Aero,20161215,800,0,-,122.1,0,24,D
Auckland Aero,20161216,800,0.2,-,124,0,24,D
Auckland Aero,20161217,800,0,-,125.9,0,24,D
Auckland Aero,20161218,800,0,-,127.6,0,24,D
Auckland Aero,20161219,800,0,-,129.2,0,24,D
Auckland Aero,20161220,800,1.6,-,129.1,0,24,D
Auckland Aero,20161221,800,0,-,130.7,0,24,D
Auckland Aero,20161222,800,0,-,132.1,0,24,D
Auckland Aero,20161223,800,9.8,-,123.6,0,24,D
Auckland Aero,20161224,800,1.8,-,123.7,0,24,D
Auckland Aero,20161225,800,0,-,125.6,0,24,D
Auckland Aero,20161226,800,0,-,127.4,0,24,D
Auckland Aero,20161227,800,0,-,129,0,24,D
Auckland Aero,20161228,800,0,-,130.5,0,24,D
Auckland Aero,20161229,800,0,-,132,0,24,D
Auckland Aero,20161230,800,0,-,133.3,0,24,D
Auckland Aero,20161231,800,0,-,134.5,0,24,D
Auckland Aero,20170101,800,0,-,135.6,0,24,D
Auckland Aero,20170102,800,0,-,136.7,0,24,D
Auckland Aero,20170103,800,1.8,-,136,0,24,D
Auckland Aero,20170104,800,1.8,-,135.3,0,24,D
Auckland Aero,20170105,800,0.2,-,136.2,0,24,D
Auckland Aero,20170106,800,0,-,137.3,0,24,D
Auckland Aero,20170107,800,0,-,138.3,0,24,D
Auckland Aero,20170108,800,0,-,139.2,0,24,D
Auckland Aero,20170109,800,0,-,140,0,24,D
Auckland Aero,20170110,800,0,-,140.8,0,24,D
Auckland Aero,20170111,800,0,-,141.5,0,24,D
Auckland Aero,20170112,800,0,-,142.2,0,24,D
Auckland Aero,20170113,800,0,-,142.8,0,24,D
Auckland Aero,20170114,800,1.6,-,141.8,0,24,D
Auckland Aero,20170115,800,0,-,142.4,0,24,D
Auckland Aero,20170116,800,0,-,143,0,24,D
Auckland Aero,20170117,800,0,-,143.5,0,24,D
Auckland Aero,20170118,800,0,-,144,0,24,D
Auckland Aero,20170119,800,0,-,144.5,0,24,D
Auckland Aero,20170120,800,7.8,-,137.1,0,24,D
Auckland Aero,20170121,800,1,-,137.1,0,24,D
Auckland Aero,20170122,800,18.2,-,119.9,0,24,D
Auckland Aero,20170123,800,1.2,-,121.1,0,24,D
Auckland Aero,20170124,800,0,-,123.3,0,24,D
Auckland Aero,20170125,800,0,-,125.4,0,24,D
Auckland Aero,20170126,800,1,-,126.3,0,24,D
Auckland Aero,20170127,800,0,-,128.2,0,24,D
Auckland Aero,20170128,800,0,-,129.9,0,24,D
